,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
likes,0.811272442,0.005614167,0.000315091,0.800353521,0.821402969,312.7388642,0.997511166
variance,0.495966849,0.002456306,9.42E-05,0.491686015,0.500792643,865.617783,0.999273057
dislikes,0.294744464,0.004189384,0.000188379,0.287460279,0.304220249,596.3990222,0.997803603
sigma_b,0.194297569,0.026079174,0.001215211,0.145833554,0.241120172,543.6635904,1.006178463
trending_days,0.141391217,0.003614908,0.000173759,0.133953101,0.148477121,377.0065833,0.999866476
topic_0,0.061565077,0.00326785,0.000146452,0.054550175,0.066853829,545.9328669,0.998814569
intercept,0.054635029,0.015164136,0.001298643,0.027828153,0.082601379,49.23765601,1.018468271
topic_3,0.022516863,0.003914974,0.000160518,0.014658186,0.029506445,630.8900623,1.00247197
topic_12,0.009984596,0.003434661,0.000159935,0.002994933,0.016006376,497.8065145,0.998667798
topic_7,-0.01538719,0.003765441,0.000170543,-0.0225897,-0.008146021,529.1003745,0.997526452
like_dislike_ratio,-0.023071777,0.003378869,0.000123393,-0.029607152,-0.017030812,812.2526305,0.999202506
28,-0.043685817,0.02527874,0.001523262,-0.100922658,-6.86E-05,94.69928598,1.009327727
25,-0.048898765,0.019073474,0.001457114,-0.081292902,-0.009962754,75.62885598,1.009135856
15,-0.07449389,0.034344182,0.001777038,-0.139244179,-0.006512233,156.947115,1.015522573
22,-0.074965078,0.018142328,0.001324041,-0.108765461,-0.040289803,66.37849761,1.018286932
27,-0.092312138,0.024210744,0.001569887,-0.139186109,-0.045512787,136.6915606,1.006293331
10,-0.110158598,0.0206275,0.001476863,-0.148736573,-0.07093195,98.59911428,1.006053012
20,-0.128347543,0.025477164,0.00172217,-0.181872699,-0.081198829,95.13739101,1.011440307
23,-0.209395013,0.0193779,0.00139746,-0.245325726,-0.168401305,70.71604609,1.010785099
comment_count,-0.212629509,0.00615677,0.000331708,-0.223925037,-0.199770461,337.777573,0.998066648
29,-0.454056406,0.074670493,0.003429986,-0.604777292,-0.315498262,332.1310008,0.997720349
