,0
trending_days,0.06781864343872712
likes,0.589092070142442
dislikes,0.32584991983662803
comment_count,-0.0622931625084675
like_dislike_ratio,-0.010255543903554099
2,0.0024006366685469516
10,-0.03497291003849057
15,-0.03749950821526227
17,-0.0014418521426406983
19,-0.037830910777373106
20,-0.06733877862664883
22,-0.02461864374243561
23,-0.09258629557767506
24,-0.0009510152922018733
25,-0.0235433416607691
26,-0.023167199954471585
27,-0.049185807221459044
28,-0.014593635471328525
29,-0.13194840807083885
30,1.1119341099377333
43,0.0841337751541289
topic_0,0.031071218356146346
topic_1,0.0005576931379778216
topic_2,-0.005160491284243562
topic_3,0.023501068325733065
topic_4,-0.016300332747746893
topic_5,0.0068688183426866
topic_6,-0.0028769352956317107
topic_7,-0.00417675589815758
topic_8,-0.0007713887702323063
topic_9,0.004951768691883629
topic_10,0.0008211996723019865
topic_11,-0.0014820113368898546
topic_12,0.013256611425958909
topic_13,-0.007877059000406916
topic_14,0.005907201661983663
