,0,1,2,3,4,5
0,song,meme,news,vs,crime,food
1,0.5748590181114663,-0.7697098224420851,-0.647776483680771,0.4721142775201747,0.42910748944349913,0.6823729028324843
2,punjabi,dank,trump,highlight,tv,street
3,0.31201875312171495,-0.3507336845749835,-0.388464541962051,0.4158599423726152,0.28616962628597065,0.23492528843765956
4,2018,song,song,game,episod,link
5,0.29312056031540246,0.26386569658057457,0.3580268721746101,0.38662791818897013,0.2731136035622292,0.20094319748014727
6,new,compil,punjabi,news,serial,rhett
7,0.26359722182802137,-0.24025289558016824,0.19854343048713263,-0.2637528982537661,0.2622705064008742,0.19897141833499804
8,meme,funni,live,nba,song,mythic
9,0.2577530073706428,-0.17088598693603493,-0.17472635823112426,0.21283971896469803,-0.261598504028759,0.15613035899332856
10,latest,punjabi,show,cavali,drama,video
11,0.20044519075548856,0.14704130013367692,-0.1415353403343569,0.17808836467648248,0.2056180454597947,0.14939149414811512
12,news,comment,donald,song,news,2018
13,0.18575843466484984,-0.11732350648737544,-0.13731619576034537,-0.17334103993135416,-0.1997248346445231,-0.13120330536347471
14,2017,award,polit,trump,comedi,react
15,0.12378947955854054,-0.11561173032666099,-0.10764170568291917,-0.1554662896801342,0.19210121901727417,0.12708146492083414
16,dank,2018,msnbc,2018,soni,tulfo
17,0.11640383934438543,0.10237598095375051,-0.09091028379254729,0.13580685169393925,0.16288005538438372,-0.12327617640413738
18,funni,latest,cnn,warrior,show,good
19,0.1161563278598744,0.09278195127654,-0.08898594117961155,0.12770865579350554,0.1615197915691444,0.11214919849706112
